BPI RK,TEAM,CONF,BPI,PVA,CONF RK,W-L,RAW,RAW RK,SOS,SOS RK,VAR,VAR RK
311,Jackson State,SWAC,29.5,-6.9,5,21-Nov,43.1,264,36.4,343,19.3,163
312,Southern Utah,Big Sky,29.5,-6.9,9,19-Oct,39.9,279,39.6,312,18.1,215
313,Niagara,MAAC,29.1,-7,10,22-Aug,32.6,336,46.5,189,21.2,80
314,North Dakota,Big Sky,29,-7.1,10,22-Aug,38.2,297,40.7,289,17,250
315,Wagner,NEC,28.9,-7.1,8,20-Oct,39.4,287,39.5,314,17.8,224
316,The Citadel,Southern,28.7,-7.2,10,19-Nov,37.1,305,41.6,274,19.2,167
317,Longwood,Big South,28.3,-7.3,9,23-Nov,37.5,302,40.8,288,17.8,223
318,Marist,MAAC,27.6,-7.6,11,25-Jul,34.6,325,43,240,16.8,255
319,AR-Pine Bluff,SWAC,27,-7.9,6,20-Dec,38,300,38.9,321,19,178
320,Abilene Christian,Southland,26.7,-8,11,21-Oct,36.6,308,40.1,305,21.8,60
321,Idaho State,Big Sky,26.6,-8,11,23-Jul,39,291,37.5,333,16.6,264
322,Austin Peay,OVC,26.2,-8.2,11,22-Aug,33.4,332,42.8,245,15.2,299
323,Montana State,Big Sky,25.8,-8.4,12,23-Jul,33.9,328,41.9,263,17.6,235
324,Coppin State,MEAC,25.7,-8.4,7,23-Aug,33,333,42.7,248,15.6,289
325,Presbyterian,Big South,25.2,-8.6,10,22-Oct,35,322,40.2,299,15.5,292
326,Chicago State,WAC,24.9,-8.7,7,24-Aug,32,338,42.9,242,16.4,269
327,Liberty,Big South,24.8,-8.8,11,24-Aug,37.5,303,37.4,336,19,179
328,Fair Dickinson,NEC,24.7,-8.8,9,21-Aug,34.7,323,40,306,14.4,312
329,Nicholls State,Southland,24.5,-8.9,12,19-Oct,36.3,310,38.3,327,15.6,288
330,S Carolina St,MEAC,24.2,-9,8,22-Nov,36.2,311,38,328,16.9,253
331,W Illinois,Summit,24.1,-9.1,9,20-Aug,32.4,337,41.7,267,15.4,293
332,Kennesaw St,A-Sun,23.9,-9.2,6,22-Oct,32.8,334,41.1,280,15.6,287
333,Jacksonville,A-Sun,23.9,-9.2,7,22-Oct,36.1,312,37.7,331,18.7,192
334,Bethune-Cookman,MEAC,23.6,-9.3,9,21-Nov,41.9,269,31.8,350,16.1,274
335,UT Pan American,WAC,23.2,-9.5,8,21-Oct,33.5,330,39.8,308,15.4,294
336,Alabama A&M,SWAC,23.1,-9.5,7,20-Sep,38.4,294,34.8,346,13.4,321
337,Binghamton,Am. East,22.6,-9.7,7,26-Jun,30,342,42.6,250,14.3,314
338,Savannah State,MEAC,22,-10,10,22-Sep,32.7,335,39.3,319,13.3,322
339,N Carolina A&T,MEAC,21.7,-10.1,11,23-Sep,35,321,36.7,341,14.3,313
340,Morgan State,MEAC,21.6,-10.2,12,24-Jul,30.6,341,41.1,281,15.1,303
341,Stetson,A-Sun,21.3,-10.3,8,22-Sep,35.2,319,36.1,344,11.8,332
342,Tennessee St,OVC,21,-10.5,12,26-May,28.3,343,42.7,247,12.3,329
343,UMBC,Am. East,18.2,-11.9,8,26-Apr,26.2,345,41.9,262,11.9,330
344,Maine,Am. East,17.3,-12.4,9,27-Mar,22.4,347,44.9,210,10,340
345,Cent Conn St,NEC,17,-12.5,10,26-May,26.5,344,40.5,292,12.3,328
346,San Jose State,MW,16.7,-12.7,11,28-Feb,17.3,351,49.4,155,8.2,344
347,Alcorn State,SWAC,15.6,-13.4,8,26-Jun,31,340,34.5,347,10.8,337
348,Miss Valley St,SWAC,15.3,-13.6,9,26-Jun,25.6,346,39.7,309,10.5,339
349,Cent Arkansas,Southland,11.2,-16.4,13,27-Feb,18.1,349,43,241,6.9,347
350,Grambling St,SWAC,8.9,-18.4,10,27-Feb,18.4,348,40.5,295,6.5,348
351,Florida A&M,MEAC,8.6,-18.7,13,27-Feb,18,350,40.6,291,5.5,350
