BPI RK,TEAM,CONF,BPI,PVA,CONF RK,W-L,RAW,RAW RK,SOS,SOS RK,VAR,VAR RK
75,Louisiana Tech,C-USA,66.3,5.4,2,25-8,67.4,27,48.9,162,16.9,252
76,Georgia Tech,ACC,66.2,5.3,9,12-19,48.6,208,67.6,10,17.7,228
77,Seton Hall,Big East,66.2,5.3,7,16-15,50.8,185,65.5,27,21.2,83
78,Yale,Ivy,66.1,5.3,1,22-9,66,37,50.2,148,16.6,263
79,Tulsa,American,66.1,5.3,5,22-9,60.5,83,55.6,106,23.5,24
80,Cent Michigan,MAC,65.8,5.2,2,23-7,68.5,23,47.3,178,22.2,51
81,Georgia State,Sun Belt,65.8,5.2,1,22-9,69.1,20,46.6,186,20.3,122
82,UTEP,C-USA,65.2,5,3,22-10,62.3,67,53,122,17.9,219
83,Harvard,Ivy,65.2,5,2,21-7,65.9,38,49.3,157,20.4,116
84,Penn State,Big Ten,65.1,4.9,11,18-16,50.4,186,64.7,42,16.6,261
85,Tennessee,SEC,65,4.9,11,16-16,47.7,216,67.2,12,21.5,73
86,Toledo,MAC,64.9,4.9,3,20-13,59,98,55.9,102,18.4,205
87,Pittsburgh,ACC,64.9,4.8,10,19-14,51.7,170,63.2,58,19.4,161
88,Florida St,ACC,64.8,4.8,11,17-16,48.6,209,66.2,18,20.3,124
89,Clemson,ACC,64.7,4.8,12,16-15,50,192,64.7,39,20.6,106
90,Creighton,Big East,64.6,4.8,8,14-19,50.2,191,64.5,47,19.8,141
91,Memphis,American,64.3,4.7,6,18-14,55,134,59.3,78,21.6,64
92,Wofford,Southern,64.2,4.6,1,28-6,67,30,47.2,181,18.2,212
93,Sam Houston,Southland,64,4.6,2,25-7,73.8,12,40.2,301,10.7,338
94,Colorado,Pac-12,63.6,4.4,7,15-17,49.9,194,63.7,51,21.4,76
95,La Salle,A 10,63.6,4.4,7,17-16,51.9,166,61.6,68,19.8,144
96,UNLV,MW,63,4.2,4,18-15,54.8,135,58.2,86,17.5,237
97,Bowling Green,MAC,62.8,4.1,4,20-11,59.7,89,53.1,119,18.7,191
98,Marquette,Big East,62.3,4,9,13-19,44.3,245,68,8,17.8,226
99,Akron,MAC,62.2,3.9,5,21-14,60.5,79,51.6,132,18.8,182
100,UC Santa Barbara,Big West,61.9,3.9,1,19-13,57.8,112,54.1,112,21.4,75
101,Washington,Pac-12,61.7,3.8,8,16-15,51.8,168,59.9,75,19.7,147
102,California,Pac-12,61.6,3.7,9,18-15,49,202,62.6,62,21.1,86
103,New Mexico St,WAC,61.5,3.7,1,22-10,67.1,29,44.4,219,18.8,186
104,Iona,MAAC,61.5,3.7,1,26-8,63.4,58,48.1,169,19.1,169
105,UC Irvine,Big West,61.5,3.7,2,20-12,60.9,76,50.6,142,20.4,112
106,Wyoming,MW,61.4,3.7,5,24-9,63.5,57,47.9,170,19.7,146
107,St. Bonaventure,A 10,61.2,3.6,8,18-13,55.6,131,55.7,105,23,33
108,Evansville,MVC,61.2,3.6,4,19-12,57.3,119,53.9,114,15.9,279
109,UC Davis,Big West,61,3.5,3,25-6,65.7,43,45.2,203,19.5,157
110,Nebraska,Big Ten,60.7,3.4,12,13-18,45.9,231,64.9,37,19.4,158
111,Massachusetts,A 10,60.6,3.4,9,17-15,47.7,217,63,60,20.4,114
112,Pepperdine,WCC,60.4,3.3,4,18-13,55.5,132,54.9,109,20.2,126
113,Cleveland State,Horizon,60.4,3.3,3,18-14,59.4,92,51,138,15.2,298
114,Oregon State,Pac-12,60.3,3.3,10,17-14,52.1,163,58.1,87,24,19
115,Boston College,ACC,60.2,3.3,13,13-19,44.3,247,65.9,20,18,216
116,Wake Forest,ACC,60.1,3.3,14,13-19,44.2,248,65.9,21,19.4,160
117,Northwestern,Big Ten,59.7,3.1,13,15-17,44.7,240,64.9,36,21.2,81
118,Kent State,MAC,59.5,3.1,6,21-11,57.4,117,52.1,128,15.8,283
119,Hawaii,Big West,59.5,3,4,22-12,59.2,95,50.3,147,20.9,93
120,San Diego,WCC,59.5,3,5,15-16,52.5,157,57,95,18.6,195
121,South Dakota St,Summit,58.8,2.8,1,23-10,65.3,45,43.4,232,20.9,92
122,William & Mary,CAA,58.7,2.8,1,20-12,60.5,81,48.2,167,21.5,71
123,Northeastern,CAA,58.5,2.7,2,23-11,59.4,93,49.2,158,25,8
124,Hofstra,CAA,58.3,2.7,3,20-13,63.1,60,45.2,204,22.5,42
125,N Carolina Cent,MEAC,58.2,2.6,1,25-7,72.2,15,36,345,15.3,295
126,Coast Carolina,Big South,57.5,2.4,1,24-9,67.3,28,40.2,300,19.8,140
127,Utah State,MW,57.3,2.3,6,18-13,55.8,129,51.5,134,18.8,184
128,Albany,Am. East,57,2.2,1,23-8,63.7,55,43.3,237,18.2,208
129,Auburn,SEC,56.8,2.2,12,15-19,42.2,266,64.6,44,21.7,62
130,High Point,Big South,56.6,2.1,2,22-9,62.9,62,43.7,226,18.3,207
131,W Kentucky,C-USA,56.6,2.1,4,20-12,57.1,122,49.5,153,18.4,204
132,North Florida,A-Sun,56.5,2.1,1,23-11,65.8,40,40.7,290,17.7,233
133,W Michigan,MAC,56.3,2,7,20-13,56.2,125,50.1,149,19.5,154
134,E Michigan,MAC,55.9,1.9,8,21-13,57.7,114,48.1,168,20.7,100
135,Vermont,Am. East,55.9,1.9,2,18-13,64.9,49,41,282,18.9,181
136,Chattanooga,Southern,55.8,1.8,2,22-10,60.8,77,45,208,18.8,187
137,Portland,WCC,55.6,1.8,6,17-15,52.6,156,53,120,22.4,47
138,E Washington,Big Sky,55.5,1.8,1,25-8,63.3,59,42.2,254,18.2,210
139,San Francisco,WCC,55.4,1.7,7,14-18,49.6,197,55.8,104,23.1,32
140,E Kentucky,OVC,55.4,1.7,2,19-11,63.8,54,41.6,272,18.7,193
141,Miss St,SEC,55.4,1.7,13,13-19,43.5,259,61.9,66,21.4,74
142,New Mexico,MW,55.3,1.7,7,15-16,52.4,159,52.9,123,22.3,48
143,Stony Brook,Am. East,55.3,1.7,3,23-10,62.5,65,42.8,244,19.5,151
144,UAB,C-USA,55.2,1.7,5,18-15,52.7,154,52.5,125,20.2,127
145,Charlotte,C-USA,55.1,1.6,6,14-18,51.1,179,54,113,18.1,213
146,Texas Tech,Big 12,55,1.6,10,13-19,40.5,277,64.5,45,22,57
147,LA-Lafayette,Sun Belt,54.9,1.6,2,20-12,62.9,63,42.1,260,24.1,18
148,Loyola (IL),MVC,54.9,1.5,5,19-13,53.3,151,51.6,133,21.6,68
149,Long Beach St,Big West,54.7,1.5,5,16-17,48.6,207,56.1,100,21,89
150,Ga. Southern,Sun Belt,54.3,1.4,3,21-8,64.9,50,39.5,317,15.6,286
151,Belmont,OVC,54.2,1.3,3,22-10,58.7,101,45.4,200,17.7,227
152,DePaul,Big East,54,1.3,10,12-20,39.1,290,65,35,23.8,22
153,USC Upstate,A-Sun,53.7,1.2,2,23-11,66.3,35,37.4,335,22.1,53
154,USC,Pac-12,53.6,1.1,11,12-20,41.8,271,61.8,67,20.9,91
155,Saint Joseph's,A 10,52.8,0.9,10,13-18,45.2,235,57.5,92,20.4,111
156,Middle Tennessee,C-USA,52,0.6,7,19-15,52.1,165,49.9,151,24.2,16
157,Manhattan,MAAC,51.7,0.5,2,19-13,56,128,45.7,197,20,134
158,FGCU,A-Sun,51.6,0.5,3,22-10,60,88,41.6,273,23.4,28
159,Montana,Big Sky,51.5,0.5,2,20-11,59.7,90,41.8,266,18.4,202
160,Oakland,Horizon,51.5,0.5,4,16-16,48.3,211,53.2,117,20.1,131
161,Radford,Big South,51.4,0.4,3,21-11,59.2,96,42.2,253,20.3,123
162,Rider,MAAC,51.2,0.4,3,21-11,56.1,126,45.1,206,19.1,171
163,Princeton,Ivy,51.1,0.4,3,16-14,53.7,147,47.4,177,24.3,13
164,St. Francis BRK,NEC,50.9,0.3,1,23-11,62.4,66,38.5,325,17.8,221
165,Virginia Tech,ACC,50.9,0.3,15,11-22,39.8,281,61.1,71,18.8,183
166,North Dakota St,Summit,50.8,0.2,2,23-9,58.3,107,42.4,251,19.9,137
167,Cal Poly,Big West,50.7,0.2,6,13-16,49.8,196,50.9,140,21.6,65
168,Columbia,Ivy,50.5,0.2,4,13-15,51.6,173,48.9,163,24.9,9
169,Mercer,Southern,50.4,0.1,3,18-15,55.7,130,44.6,217,19,175
170,Canisius,MAAC,50.3,0.1,4,16-14,52.8,153,47.5,174,22,54
171,UNC-Wilmington,CAA,50,0,4,18-13,52.8,152,47.2,180,24.4,12
172,Morehead State,OVC,50,0,4,17-17,54.3,140,45.7,195,18.7,189
173,IPFW,Summit,49.5,-0.1,3,16-14,57.4,116,42.1,258,21.9,59
174,Winthrop,Big South,49.5,-0.2,4,19-13,60.5,82,39,320,21.3,78
175,Washington St,Pac-12,49.4,-0.2,12,13-18,37.4,304,62,65,22.2,49
176,Detroit,Horizon,49.3,-0.2,5,15-18,48.3,210,51,137,21.2,82
177,Charl Southern,Big South,49.2,-0.2,5,19-11,57,123,42.2,256,22.6,37
178,Missouri,SEC,49.2,-0.3,14,9-23,33.8,329,65.4,28,17.7,230
179,Quinnipiac,MAAC,48.9,-0.3,5,15-15,54.2,142,44.8,211,24.1,17
180,Indiana State,MVC,48.9,-0.4,6,15-16,46.6,225,52.3,126,23.4,26
