Rank,Team,BPI,PVA
216,Lehigh,44.8,-1.6
217,Denver,44.5,-1.7
218,East Carolina,44.3,-1.8
219,UTSA,44.2,-1.8
220,UC Riverside,43.9,-1.9
221,MD-E Shore,43.9,-1.9
222,Northwestern St,43.7,-2
223,South Dakota,43.5,-2.1
224,Texas A&M-CC,43.5,-2.1
225,Milwaukee,43.4,-2.1
226,Texas State,43,-2.2
227,W Carolina,42.9,-2.3
228,S Illinois,42.7,-2.3
229,Seattle U,42.5,-2.4
230,UNC Asheville,42.4,-2.4
231,Mount St Mary's,42.4,-2.4
232,St Francis (PA),42.2,-2.5
233,Wright State,41.9,-2.6
234,Grand Canyon,41.7,-2.7
235,North Texas,41.6,-2.7
236,Pacific,41.3,-2.8
237,CSU Bakersfield,41.3,-2.8
238,Ohio,41.2,-2.8
239,SE Missouri St,40.8,-2.9
240,Tenn Tech,40.7,-3
241,Missouri State,40.7,-3
242,Delaware State,40.7,-3
243,Rice,40.4,-3.1
244,N Kentucky,40.4,-3.1
245,Saint Louis,40.3,-3.1
246,Holy Cross,40.1,-3.2
247,Boston U,40.1,-3.2
248,UCF,40,-3.2
249,AR-Little Rock,40,-3.2
250,Idaho,39.9,-3.3
251,SIU Edwardsville,39.7,-3.3
252,Sacred Heart,39.6,-3.3
253,Drexel,39.5,-3.4
254,Elon,39.4,-3.4
255,Portland St,39.4,-3.4
256,Loyola Mary,39.3,-3.4
257,N. Colorado,38.9,-3.6
258,Marshall,38.6,-3.7
259,Bryant,38.5,-3.7
260,Bradley,38.2,-3.8
261,Alabama State,38.1,-3.8
262,Army,38,-3.9
263,Furman,38,-3.9
264,South Florida,37.9,-3.9
265,Brown,37.7,-4
266,Drake,37.7,-4
267,Lamar,37.5,-4
268,VMI,37.3,-4.1
269,Navy,37.3,-4.1
270,FIU,37.2,-4.2
271,Samford,37.1,-4.2
272,Weber State,36.7,-4.3
273,Delaware,36.7,-4.3
274,Ball State,36.6,-4.3
275,CS Northridge,36.4,-4.4
276,Southern,36.4,-4.4
277,Omaha,36.3,-4.5
278,Siena,36.2,-4.5
279,Howard,36.1,-4.5
280,Nevada,36,-4.6
